1 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80 , 80
2 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82 , 82
3 , 84 , 84 , 84 , 84 , 84 , 84 , 84 , 84 , 84 , 84
4 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86 , 86
5 , 88 , 88 , 88 , 88 , 88 , 88 , 88 , 88 , 88 , 88
6 , 90 , 90 , 90 , 90 , 90 , 90 , 90 , 90 , 90 , 90
7 , 92 , 92 , 92 , 92 , 92 , 92 , 92 , 92 , 92 , 92
8 , 94 , 94 , 94 , 94 , 94 , 94 , 94 , 94 , 94 , 94
9 , 96 , 96 , 96 , 96 , 96 , 96 , 96 , 96 , 96 , 96
10 , 98 , 98 , 98 , 98 , 98 , 98 , 98 , 98 , 98 , 98
11 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100
12 , 102 , 102 , 102 , 102 , 102 , 102 , 102 , 102 , 102 , 102
13 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104 , 104
14 , 106 , 106 , 106 , 106 , 106 , 106 , 106 , 106 , 106 , 106
15 , 108 , 108 , 108 , 108 , 108 , 108 , 108 , 108 , 108 , 108
16 , 110 , 110 , 110 , 110 , 110 , 110 , 110 , 110 , 110 , 110
17 , 112 , 112 , 112 , 112 , 112 , 112 , 112 , 112 , 112 , 112
18 , 114 , 114 , 114 , 114 , 114 , 114 , 114 , 114 , 114 , 114
19 , 116 , 116 , 116 , 116 , 116 , 116 , 116 , 116 , 116 , 116
20 , 118 , 118 , 118 , 118 , 118 , 118 , 118 , 118 , 118 , 118
21 , 120 , 120 , 120 , 120 , 120 , 120 , 120 , 120 , 120 , 120
22 , 122 , 122 , 122 , 122 , 122 , 122 , 122 , 122 , 122 , 122
23 , 124 , 124 , 124 , 124 , 124 , 124 , 124 , 124 , 124 , 124
24 , 126 , 126 , 126 , 126 , 126 , 126 , 126 , 126 , 126 , 126
25 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129 , 129
26 , 133 , 133 , 133 , 133 , 133 , 133 , 133 , 133 , 133 , 133
27 , 137 , 137 , 137 , 137 , 137 , 137 , 137 , 137 , 137 , 137
28 , 141 , 141 , 141 , 141 , 141 , 141 , 141 , 141 , 141 , 141
29 , 147 , 147 , 147 , 147 , 147 , 147 , 147 , 147 , 147 , 147
30 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153 , 153
31 , 160 , 160 , 160 , 160 , 160 , 160 , 160 , 160 , 160 , 160
32 , 169 , 169 , 169 , 169 , 169 , 169 , 169 , 169 , 169 , 169
33 , 178 , 178 , 178 , 178 , 178 , 178 , 178 , 178 , 178 , 178
34 , 189 , 189 , 189 , 189 , 189 , 189 , 189 , 189 , 189 , 189
35 , 200 , 200 , 200 , 200 , 200 , 200 , 200 , 200 , 200 , 200
36 , 212 , 212 , 212 , 212 , 212 , 212 , 212 , 212 , 212 , 212
37 , 225 , 225 , 225 , 225 , 225 , 225 , 225 , 225 , 225 , 225
38 , 239 , 239 , 239 , 239 , 239 , 239 , 239 , 239 , 239 , 239
39 , 253 , 253 , 253 , 253 , 253 , 253 , 253 , 253 , 253 , 253
40 , 267 , 267 , 267 , 267 , 267 , 267 , 267 , 267 , 267 , 267
41 , 282 , 282 , 282 , 282 , 282 , 282 , 282 , 282 , 282 , 282
42 , 296 , 296 , 296 , 296 , 296 , 296 , 296 , 296 , 296 , 296
43 , 311 , 311 , 311 , 311 , 311 , 311 , 311 , 311 , 311 , 311
44 , 326 , 326 , 326 , 326 , 326 , 326 , 326 , 326 , 326 , 326
45 , 340 , 340 , 340 , 340 , 340 , 340 , 340 , 340 , 340 , 340
46 , 353 , 353 , 353 , 353 , 353 , 353 , 353 , 353 , 353 , 353
47 , 365 , 365 , 365 , 365 , 365 , 365 , 365 , 365 , 365 , 365
48 , 376 , 376 , 376 , 376 , 376 , 376 , 376 , 376 , 376 , 376
49 , 386 , 386 , 386 , 386 , 386 , 386 , 386 , 386 , 386 , 386
50 , 394 , 394 , 394 , 394 , 394 , 394 , 394 , 394 , 394 , 394
51 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400
52 , 405 , 405 , 405 , 405 , 405 , 405 , 405 , 405 , 405 , 405
53 , 407 , 407 , 407 , 407 , 407 , 407 , 407 , 407 , 407 , 407
54 , 408 , 408 , 408 , 408 , 408 , 408 , 408 , 408 , 408 , 408
55 , 408 , 408 , 408 , 408 , 408 , 408 , 408 , 408 , 408 , 408
56 , 407 , 407 , 407 , 407 , 407 , 407 , 407 , 407 , 407 , 407
57 , 405 , 405 , 405 , 405 , 405 , 405 , 405 , 405 , 405 , 405
58 , 404 , 404 , 404 , 404 , 404 , 404 , 404 , 404 , 404 , 404
59 , 402 , 402 , 402 , 402 , 402 , 402 , 402 , 402 , 402 , 402
60 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400
61 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399
62 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399
63 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400
64 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400 , 400
65 , 401 , 401 , 401 , 401 , 401 , 401 , 401 , 401 , 401 , 401
66 , 402 , 402 , 402 , 402 , 402 , 402 , 402 , 402 , 402 , 402
67 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403
68 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403
69 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403 , 403
70 , 401 , 401 , 401 , 401 , 401 , 401 , 401 , 401 , 401 , 401
71 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399 , 399
72 , 395 , 395 , 395 , 395 , 395 , 395 , 395 , 395 , 395 , 395
73 , 391 , 391 , 391 , 391 , 391 , 391 , 391 , 391 , 391 , 391
74 , 385 , 385 , 385 , 385 , 385 , 385 , 385 , 385 , 385 , 385
75 , 379 , 379 , 379 , 379 , 379 , 379 , 379 , 379 , 379 , 379
76 , 372 , 372 , 372 , 372 , 372 , 372 , 372 , 372 , 372 , 372
77 , 365 , 365 , 365 , 365 , 365 , 365 , 365 , 365 , 365 , 365
78 , 358 , 358 , 358 , 358 , 358 , 358 , 358 , 358 , 358 , 358
79 , 351 , 351 , 351 , 351 , 351 , 351 , 351 , 351 , 351 , 351
